loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0007,0.0533820241689682,4.522542485937369e-05,8.428571428571429,590,,,,,,,,,,,
0.0015,0.007790362928062677,4.4978385203673845e-05,8.571428571428571,600,,,,,,,,,,,
0.0014,0.0131975207477808,4.472582570758367e-05,8.714285714285714,610,,,,,,,,,,,
0.0014,0.27623602747917175,4.446781615092235e-05,8.857142857142858,620,,,,,,,,,,,
0.0006,0.009255078621208668,4.42044278193097e-05,9.0,630,,,,,,,,,,,
,,,9.0,630,0.5825884938240051,0.8714285714285714,0.869117089806745,3.0798,22.729,11.364,,,,,
0.001,0.007040053606033325,4.393573348447059e-05,9.142857142857142,640,,,,,,,,,,,
0.0005,0.015894845128059387,4.366180738412876e-05,9.285714285714286,650,,,,,,,,,,,
0.0006,0.012994793243706226,4.3382725201495723e-05,9.428571428571429,660,,,,,,,,,,,
0.0006,0.013523377478122711,4.309856404436012e-05,9.571428571428571,670,,,,,,,,,,,
0.0004,0.008229470811784267,4.2809402423783624e-05,9.714285714285714,680,,,,,,,,,,,
0.0005,0.024008164182305336,4.251532023240901e-05,9.857142857142858,690,,,,,,,,,,,
0.0004,0.008118587546050549,4.221639872238662e-05,10.0,700,,,,,,,,,,,
,,,10.0,700,0.5551960468292236,0.8857142857142857,0.8846001730317639,3.1711,22.074,11.037,,,,,
0.0003,0.004586236551403999,4.191272048292513e-05,10.142857142857142,710,,,,,,,,,,,
0.0004,0.005628008395433426,4.160436941747293e-05,10.285714285714286,720,,,,,,,,,,,
0.0003,0.009971953928470612,4.129143072053638e-05,10.428571428571429,730,,,,,,,,,,,
0.0004,0.007487051654607058,4.09739908541414e-05,10.571428571428571,740,,,,,,,,,,,
0.0003,0.0044035459868609905,4.065213752394478e-05,10.714285714285714,750,,,,,,,,,,,
0.0007,0.008009353652596474,4.032595965500195e-05,10.857142857142858,760,,,,,,,,,,,
0.0003,0.005146494600921869,3.9995547367197845e-05,11.0,770,,,,,,,,,,,
,,,11.0,770,0.5339038968086243,0.8857142857142857,0.8843854995579135,3.1455,22.254,11.127,,,,,
0.0005,0.047539301216602325,3.9660991950347576e-05,11.142857142857142,780,,,,,,,,,,,
0.0003,0.00648893928155303,3.932238583897395e-05,11.285714285714286,790,,,,,,,,,,,
0.0003,0.009825889021158218,3.897982258676867e-05,11.428571428571429,800,,,,,,,,,,,
0.0003,0.004364854656159878,3.863339684074432e-05,11.571428571428571,810,,,,,,,,,,,
0.0003,0.0059961918741464615,3.828320431508429e-05,11.714285714285714,820,,,,,,,,,,,
0.0003,0.014391833916306496,3.7929341764697816e-05,11.857142857142858,830,,,,,,,,,,,
0.0003,0.005619840230792761,3.7571906958487584e-05,12.0,840,,,,,,,,,,,
,,,12.0,840,0.546933114528656,0.9,0.8987941017084511,3.1414,22.283,11.141,,,,,
0.0003,0.00468969251960516,3.721099865233701e-05,12.142857142857142,850,,,,,,,,,,,
0.0003,0.004923166241496801,3.6846716561824965e-05,12.285714285714286,860,,,,,,,,,,,
0.0003,0.004851629491895437,3.6479161334675296e-05,12.428571428571429,870,,,,,,,,,,,
0.0002,0.008438457734882832,3.610843452294877e-05,12.571428571428571,880,,,,,,,,,,,
0.0003,0.003779622260481119,3.5734638554985236e-05,12.714285714285714,890,,,,,,,,,,,
0.0003,0.00499358493834734,3.5357876707103596e-05,12.857142857142858,900,,,,,,,,,,,
0.0003,0.00447866041213274,3.497825307506758e-05,13.0,910,,,,,,,,,,,
,,,13.0,910,0.5519629120826721,0.9,0.8987941017084511,3.1101,22.508,11.254,,,,,
0.0003,0.0038260247092694044,3.459587254532502e-05,13.142857142857142,920,,,,,,,,,,,
0.0002,0.0047478205524384975,3.421084076602867e-05,13.285714285714286,930,,,,,,,,,,,
0.0002,0.003418842563405633,3.382326411784672e-05,13.428571428571429,940,,,,,,,,,,,
0.0003,0.006880287081003189,3.343324968457076e-05,13.571428571428571,950,,,,,,,,,,,
0.0002,0.006193115375936031,3.304090522352946e-05,13.714285714285714,960,,,,,,,,,,,
0.0002,0.005335432942956686,3.2646339135816386e-05,13.857142857142858,970,,,,,,,,,,,
0.0002,0.003659874200820923,3.224966043633966e-05,14.0,980,,,,,,,,,,,
,,,14.0,980,0.5480327010154724,0.9,0.8987941017084511,3.1502,22.22,11.11,,,,,
,,,14.0,980,,,,,,,315.3232,26.639,6.66,4.884703874659123e+18,0.20582260063716343
,,,14.0,980,0.46820107102394104,0.9,0.900181325698567,3.8201,18.324,9.162,,,,,
