loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6248,8.500849723815918,2.142857142857143e-06,0.14285714285714285,10,,,,,,,,,,,
1.6367,7.518513202667236,4.5238095238095235e-06,0.2857142857142857,20,,,,,,,,,,,
1.5608,8.140183448791504,6.9047619047619055e-06,0.42857142857142855,30,,,,,,,,,,,
1.5886,8.505156517028809,9.285714285714286e-06,0.5714285714285714,40,,,,,,,,,,,
1.4856,8.780360221862793,1.1666666666666668e-05,0.7142857142857143,50,,,,,,,,,,,
1.4861,11.201920509338379,1.4047619047619048e-05,0.8571428571428571,60,,,,,,,,,,,
1.3516,10.475544929504395,1.642857142857143e-05,1.0,70,,,,,,,,,,,
,,,1.0,70,1.2608329057693481,0.6714285714285714,0.661330331901498,3.3095,21.151,10.576,,,,,
1.0718,10.828317642211914,1.880952380952381e-05,1.1428571428571428,80,,,,,,,,,,,
0.9555,10.391693115234375,2.1190476190476193e-05,1.2857142857142856,90,,,,,,,,,,,
0.9104,10.298373222351074,2.357142857142857e-05,1.4285714285714286,100,,,,,,,,,,,
0.8878,12.76130485534668,2.5952380952380957e-05,1.5714285714285714,110,,,,,,,,,,,
0.6653,12.525888442993164,2.8333333333333335e-05,1.7142857142857144,120,,,,,,,,,,,
0.6792,10.15505313873291,3.071428571428572e-05,1.8571428571428572,130,,,,,,,,,,,
0.5023,13.257152557373047,3.309523809523809e-05,2.0,140,,,,,,,,,,,
,,,2.0,140,0.6393794417381287,0.7571428571428571,0.7326013309134906,3.0896,22.657,11.328,,,,,
0.2621,5.322181224822998,3.547619047619048e-05,2.142857142857143,150,,,,,,,,,,,
0.2855,6.73500919342041,3.785714285714286e-05,2.2857142857142856,160,,,,,,,,,,,
0.3784,3.031480073928833,4.023809523809524e-05,2.4285714285714284,170,,,,,,,,,,,
0.1472,23.304569244384766,4.261904761904762e-05,2.571428571428571,180,,,,,,,,,,,
0.3858,19.81187629699707,4.5e-05,2.7142857142857144,190,,,,,,,,,,,
0.2824,18.032695770263672,4.738095238095238e-05,2.857142857142857,200,,,,,,,,,,,
0.3607,6.948973178863525,4.976190476190477e-05,3.0,210,,,,,,,,,,,
,,,3.0,210,0.483978807926178,0.8142857142857143,0.806572249589491,3.0927,22.634,11.317,,,,,
0.0752,0.16346527636051178,4.999720254525684e-05,3.142857142857143,220,,,,,,,,,,,
0.0248,1.2846535444259644,4.9987533135093934e-05,3.2857142857142856,230,,,,,,,,,,,
0.1102,0.370177686214447,4.997095990396411e-05,3.4285714285714284,240,,,,,,,,,,,
0.1021,0.3176221549510956,4.9950144974193364e-05,3.571428571428571,250,,,,,,,,,,,
0.0826,30.256057739257812,4.992046867395478e-05,3.7142857142857144,260,,,,,,,,,,,
0.2926,33.976348876953125,4.988390708203068e-05,3.857142857142857,270,,,,,,,,,,,
0.0728,0.7556451559066772,4.98404703000459e-05,4.0,280,,,,,,,,,,,
,,,4.0,280,0.6366339325904846,0.8285714285714286,0.8263894975589128,3.1469,22.244,11.122,,,,,
0.214,0.04776608571410179,4.9790170329175754e-05,4.142857142857143,290,,,,,,,,,,,
0.042,14.506745338439941,4.973302106683029e-05,4.285714285714286,300,,,,,,,,,,,
0.0255,0.12104535847902298,4.966903830281449e-05,4.428571428571429,310,,,,,,,,,,,
0.1487,0.05464952439069748,4.959823971496574e-05,4.571428571428571,320,,,,,,,,,,,
0.0093,0.07593506574630737,4.952064486426965e-05,4.714285714285714,330,,,,,,,,,,,
0.0146,7.281596660614014,4.943627518945543e-05,4.857142857142857,340,,,,,,,,,,,
0.0202,0.05425967276096344,4.934515400107266e-05,5.0,350,,,,,,,,,,,
,,,5.0,350,0.45198702812194824,0.9,0.8993821471240826,3.0821,22.711,11.356,,,,,
0.1238,0.33700162172317505,4.924730647505078e-05,5.142857142857143,360,,,,,,,,,,,
0.004,0.6601186990737915,4.91427596457432e-05,5.285714285714286,370,,,,,,,,,,,
0.0072,0.09394623339176178,4.9031542398457974e-05,5.428571428571429,380,,,,,,,,,,,
0.0038,0.018526412546634674,4.8913685461477066e-05,5.571428571428571,390,,,,,,,,,,,
0.0047,3.7367680072784424,4.878922139756641e-05,5.714285714285714,400,,,,,,,,,,,
0.0054,0.02083105407655239,4.865818459497911e-05,5.857142857142857,410,,,,,,,,,,,
0.0037,0.061808992177248,4.852061125795431e-05,6.0,420,,,,,,,,,,,
,,,6.0,420,0.6521123647689819,0.8571428571428571,0.8578574937195625,3.0936,22.627,11.314,,,,,
0.1554,0.07670260965824127,4.837653939671427e-05,6.142857142857143,430,,,,,,,,,,,
0.0014,0.052765969187021255,4.822600881696256e-05,6.285714285714286,440,,,,,,,,,,,
0.0011,0.01832658424973488,4.806906110888606e-05,6.428571428571429,450,,,,,,,,,,,
